"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Improving Data Quality for Regression Test Selection by Reducing Annotation Noise","K. W. Al-Sabbagh; M. Staron; R. Hebig; W. Meding","Chalmers | University of Gothenburg, Gothenburg, Sweden; Chalmers | University of Gothenburg, Gothenburg, Sweden; Chalmers | University of Gothenburg, Gothenburg, Sweden; Ericsson AB","2020 46th Euromicro Conference on Software Engineering and Advanced Applications (SEAA)","16 Oct 2020","2020","","","191","194","Big data and machine learning models have been increasingly used to support software engineering processes and practices. One example is the use of machine learning models to improve test case selection in continuous integration. However, one of the challenges in building such models is the identification and reduction of noise that often comes in large data. In this paper, we present a noise reduction approach that deals with the problem of contradictory training entries. We empirically evaluate the effectiveness of the approach in the context of selective regression testing. For this purpose, we use a curated training set as input to a tree-based machine learning ensemble and compare the classification precision, recall, and f-score against a non-curated set. Our study shows that using the noise reduction approach on the training instances gives better results in prediction with an improvement of 37% on precision, 70% on recall, and 59% on f-score.","","978-1-7281-9532-2","10.1109/SEAA51224.2020.00042","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9226358","Annotation Noise;Regression Testing;Machine Learning Models","Training;Testing;Annotations;Predictive models;Noise reduction;Feature extraction;Dictionaries","learning (artificial intelligence);pattern classification;program testing;regression analysis","annotation noise reduction;tree-based machine;curated training;selective regression testing;contradictory training entries;continuous integration;test case selection;software engineering processes;machine learning models;big data;regression test selection;data quality;noise reduction approach","","1","","12","IEEE","16 Oct 2020","","","IEEE","IEEE Conferences"
"TITAN: Test Suite Optimization for Highly Configurable Software","D. Marijan; M. Liaaen; A. Gotlieb; S. Sen; C. Ieva","Simula Research Laboratory, Norway; Cisco Systems, Norway; Simula Research Laboratory, Norway; Simula Research Laboratory, Norway; Simula Research Laboratory, Norway","2017 IEEE International Conference on Software Testing, Verification and Validation (ICST)","18 May 2017","2017","","","524","531","Exhaustive testing of highly configurable software developed in continuous integration is rarely feasible in practice due to the configuration space of exponential size on the one hand, and strict time constraints on the other. This entails using selective testing techniques to determine the most failure-inducing test cases, conforming to highly-constrained time budget. These challenges have been well recognized by researchers, such that many different techniques have been proposed. In practice, however, there is a lack of efficient tools able to reduce high testing effort, without compromising software quality. In this paper we propose a test suite optimization technology TITAN, which increases the time-and cost-efficiency of testing highly configurable software developed in continuous integration. The technology implements practical test prioritization and minimization techniques, and provides test traceability and visualization for improving the quality of testing. We present the TITAN tool and discuss a set of methodological and technological challenges we have faced during TITAN development. We evaluate TITAN in testing of Cisco's highly configurable software with frequent high quality releases, and demonstrate the benefit of the approach in such a complex industry domain.","","978-1-5090-6031-3","10.1109/ICST.2017.60","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7928010","Test optimization;test prioritization;highly-configurable software;continuous integration testing","Testing;Optimization;Software;Minimization;Tools;Fault detection;Data models","minimisation;program diagnostics;program testing;program visualisation;software quality","TITAN;test suite optimization;Cisco highly configurable software testing;selective testing;failure-inducing test cases;software quality;test prioritization techniques;test minimization techniques;test traceability;visualization","","11","","28","IEEE","18 May 2017","","","IEEE","IEEE Conferences"
"A novel probabilistic-ABC based boosting model for software defect detection","P. R. Kumar; G. P. S. Varma","Department of CSE, Sir C R R College of engineering, Eluru, India; Sagi Ramakrishnam Raju Engineering College, Bhimavaram, India","2017 International Conference on Innovations in Information, Embedded and Communication Systems (ICIIECS)","1 Feb 2018","2017","","","1","6","As the development platforms in software technology grow rapidly; the development of software systems has become more and more complex and versatile. It is quite necessary for the software industries to develop software products with good qualities. As the size of the product and development technologies increasing, there is need for identification of software defects at the early stage of development phase. Detection of defects appropriately and accurately measured in the early stage to increase the quality of the product. Software metric can be defined as building blocks of prediction models. The evaluation of software metric is carried out in the design and coding phase prior to actual implementation of the product. Defects are described as a type of conditions that does not satisfy minimum requirement and this can lead to malfunction or unexpected outcomes. The numbers of defects are inversely proportional with the quality which means, on decreasing numbers of defects will result better software quality. Detection of these defects at the early stage of development life cycle will reduce the cost and effort to a great extent. Since decades many researchers have proposed different models for detection of defects in software modules. In this paper we emphasized on defect detection approaches using machine learning scheme to improve true positive rate. Prediction metrics are basically split into two categories, those are: - code metrics and process metrics. In this paper we have designed and implemented a novel defect prediction model using probabilistic ABC based classification model. We compared our model with various defect detection approaches in terms of statistical measures. Experimental results proved that proposed model has high computational detection rate compared to traditional models.","","978-1-5090-3294-5","10.1109/ICIIECS.2017.8276059","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8276059","Software defects;Machine learning;feature selection models","Software;Predictive models;Computational modeling;Software metrics;Feature extraction;Genetic algorithms","cost reduction;DP industry;learning (artificial intelligence);pattern classification;program testing;software metrics;software quality;statistical analysis","software defect detection;development platforms;software technology;development technologies;early stage;development phase;software metric;prediction models;coding phase;development life cycle;software modules;defect detection approaches;prediction metrics;code metrics;process metrics;probabilistic ABC based classification model;high computational detection rate;traditional models;software system development;software product quality;software defect identification;design phase;probabilistic-ABC based boosting model;software industries;cost reduction;cost reduction;machine learning scheme;true positive rate;defect prediction model;statistical measures","","2","","12","IEEE","1 Feb 2018","","","IEEE","IEEE Conferences"
"A Method for Test Cases Reduction in Web Application Testing Based on User Session","S. Wang; W. Wu; J. Sun","School of Computer Science & Technology, Xi'an University of Posts & Telecommunications, Xi'an, China; School of Computer Science & Technology, Xi'an University of Posts & Telecommunications, Xi'an, China; School of Computer Science & Technology, Xi'an University of Posts & Telecommunications, Xi'an, China","2018 International Conference on Networking and Network Applications (NaNA)","24 Feb 2019","2018","","","378","383","With the development of web application, the internal structure of the web application was more complicated. The software testing method based on user session has been used to verify the quality of web application. However, the amount of real user session data were extremely large. In order to reduce the scale of the test case set for web application testing, we proposed a reduced method of test cases based on user session. First, we cleaned the original log file and identified user session and sorted the user sessions according to the Gini index. Then, we made an “OR” operation on the all user sessions coverage to obtain some user sessions that cover all pages of web application. These user sessions were a set of reduced test cases. Finally, the structure dependency graph of web application was generated according to the user sessions. The PageRank algorithm and the Hamming distance are used to optimize the test cases reduced with the same Gini index. By this means, we obtained the final test cases set for reduction. Through experimental verification, we found that the reduction rate of the test cases reached 85.7% and the fault coverage rate reached 100% by our method. Therefore, the method we proposed in this paper improved effectively the reliability of web application and the effectiveness of software testing and reduced the cost of software testing.","","978-1-5386-8303-3","10.1109/NANA.2018.8648767","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8648767","user session;Gini index;PageRank algorithm;Hamming distance;test cases reduction","Indexes;Web pages;Software testing;Software;Software reliability","graph theory;Internet;program testing;software fault tolerance","user session data;software testing;test cases reduction;Web application testing;structure dependency graph;PageRank algorithm;Hamming distance;Gini index;software faults","","","","16","IEEE","24 Feb 2019","","","IEEE","IEEE Conferences"
"Test case prioritization techniques for software product line: A survey","S. Kumar; Rajkumar","Department of Computer Science, Gurukula Kangri Vishwavidyalaya, Haridwar, India; Gurukula Kangri vishwavidyalaya, Hardwar, Uttarakhand, IN","2016 International Conference on Computing, Communication and Automation (ICCCA)","16 Jan 2017","2016","","","884","889","Software product line (SPL) testing is a tougher work than testing of single systems. Still testing of each individual SPL product would be perfect but it is too costly in practice. In fact, when the number of features increases then the number of possible products also increases exponentially usually derived from a feature model. Number of features is leading to thousands of different products. Due to cost and time constraints, it is infeasible or large number of effort to run all the test cases in an existing test suite. To decrease the cost of testing, various techniques have been proposed. One of them is test case prioritization (TCP) techniques. Here we presented a survey for TCP techniques for software SPL.","","978-1-5090-1666-2","10.1109/CCAA.2016.7813841","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7813841","Software product lines;Test Case Prioritization;Variability;Commonality;Feature Model","Software;Software product lines;Testing;Frequency modulation;Fault detection;Automation;Libraries","program testing;software product lines","software product line;SPL product;feature model;test suite;test case prioritization;TCP","","8","","30","IEEE","16 Jan 2017","","","IEEE","IEEE Conferences"
"Test Set Diameter: Quantifying the Diversity of Sets of Test Cases","R. Feldt; S. Poulding; D. Clark; S. Yoo","Software Engineering Research Lab, Blekinge Institute of Technology, Karlskrona, Sweden; Software Engineering Research Lab, Blekinge Institute of Technology, Karlskrona, Sweden; Department of Computer Science, University College London, London, UK; School of Computing KAIST, Daejeon, Republic of Korea","2016 IEEE International Conference on Software Testing, Verification and Validation (ICST)","21 Jul 2016","2016","","","223","233","A common and natural intuition among software testers is that test cases need to differ if a software system is to be tested properly and its quality ensured. Consequently, much research has gone into formulating distance measures for how test cases, their inputs and/or their outputs differ. However, common to these proposals is that they are data type specific and/or calculate the diversity only between pairs of test inputs, traces or outputs. We propose a new metric to measure the diversity of sets of tests: the test set diameter (TSDm). It extends our earlier, pairwise test diversity metrics based on recent advances in information theory regarding the calculation of the normalized compression distance (NCD) for multisets. A key advantage is that TSDm is a universal measure of diversity and so can be applied to any test set regardless of data type of the test inputs (and, moreover, to other test-related data such as execution traces). But this universality comes at the cost of greater computational effort compared to competing approaches. Our experiments on four different systems show that the test set diameter can help select test sets with higher structural and fault coverage than random selection even when only applied to test inputs. This can enable early test design and selection, prior to even having a software system to test, and complement other types of test automation and analysis. We argue that this quantification of test set diversity creates a number of opportunities to better understand software quality and provides practical ways to increase it.","","978-1-5090-1827-7","10.1109/ICST.2016.33","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7515474","Software testing;Information theory;Test selection;Empirical study","Measurement;Complexity theory;Software testing;Electronic mail;Software systems","program testing;software fault tolerance;software metrics;software quality","software quality;test set diversity;fault coverage;NCD;normalized compression distance;pairwise test diversity metrics;TSDm;software system;software testers;test cases;test set diameter","","53","","41","IEEE","21 Jul 2016","","","IEEE","IEEE Conferences"
"A Test Suit Reduction Method Based on Defect Detecting Capabilit","Z. Sun; T. Zhang; Y. Peng; L. Wu; Y. Yan; Y. Zhang","Institute of Computer Application, China Academy of Engineering Physics, Mianyang, China; Institute of Computer Application, China Academy of Engineering Physics, Mianyang, China; Institute of Computer Application, China Academy of Engineering Physics, Mianyang, China; Institute of Computer Application, China Academy of Engineering Physics, Mianyang, China; Institute of Computer Application, China Academy of Engineering Physics, Mianyang, China; Institute of Computer Application, China Academy of Engineering Physics, Mianyang, China","2019 IEEE 2nd International Conference on Automation, Electronics and Electrical Engineering (AUTEEE)","12 Mar 2020","2019","","","45","48","The scale of test cases and the ability to detect defects determine the cost and effectiveness of software testing. A well-designed test suit reduction method should maximize the effectiveness of defect detection while reducing the cost of software testing. In this paper, a test suit reduction method based on defect detection capability is presented. The scale of the test cases to be selected and their defect detection capability are fully considered in the reduction process. The example application shows that compared with the traditional single-objective heuristic algorithm, the test case reduction set obtained by this method has improved in scale and defect detection ability.","","978-1-7281-5030-7","10.1109/AUTEEE48671.2019.9033228","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9033228","software testing;test suit reduction;defect detection capability","Heuristic algorithms;Software;Linear programming;Fault detection;Approximation algorithms;Software testing","program testing","software testing;defect detection capability;reduction process;test case reduction;defect detection ability;test suit reduction method","","1","","13","IEEE","12 Mar 2020","","","IEEE","IEEE Conferences"
"Towards Reduction of Software Maintenance Cost through Assignment of Critical Functionality Scores","L. S. Nair; J. Swaminathan","Department of Computer Science and Engineering, Amrita Vishwa Vidyapeetham, Amritapuri Campus, India; Department of Computer Science and Engineering, Amrita Vishwa Vidyapeetham, Amritapuri Campus, India","2020 5th International Conference on Communication and Electronics Systems (ICCES)","10 Jul 2020","2020","","","199","204","Software maintenance incurs a significant cost during the life cycle of any software product. This is due to multiple factors such as addition of features demanded by new requirements, modification of existing features triggered by fixing of defects in the code and extending product support to newer platforms. These factors cause the testing phase to be repeated each time thereby increasing the maintenance cost. The quality of the code compounds to the maintenance cost since poorly written code are hard to comprehend and work with. This paper proposes a methodology to reduce the testing effort through successive releases by determining a set of most significant functionalities by computing scores based on the usage frequency, code maintainability and change vulnerability. The scores are recomputed as the software evolves over successive releases to keep the testing effort minimal.","","978-1-7281-5371-1","10.1109/ICCES48766.2020.9138071","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9138071","Static Code Analysis;Scala;Call graph;unit testing;integration testing;Maintainability Index","Software maintenance;Codes;Costs;Maintenance engineering;Indexes;Compounds;Testing","program testing;software cost estimation;software maintenance","code maintainability;change vulnerability;software maintenance cost reduction;critical functionality scores;software product life cycle;testing phase;code compounds","","","","16","IEEE","10 Jul 2020","","","IEEE","IEEE Conferences"
"DevOps Improvements for Reduced Cycle Times with Integrated Test Optimizations for Continuous Integration","D. Marijan; M. Liaaen; S. Sen","Simula, Norway; Cisco Systems, Norway; Simula, Norway","2018 IEEE 42nd Annual Computer Software and Applications Conference (COMPSAC)","22 Jun 2018","2018","01","","22","27","DevOps, as a growing development practice that aims to enable faster development and efficient deployment of applications without compromising on quality, is often hampered by long cycle times. One contributing factor to long cycle times in DevOps is long build time. Automated testing in continuous integration is one of the build stages that is highly prone to long run-time due to software complexity and evolution, and inefficient due to unoptimized testing approaches. To be cost-effective, testing in continuous integration needs to use only a fast-running set of comprehensive tests that are able to ensure the level of quality needed for deployment to production. Known approaches use time-aware test selection methods to improve time-efficiency of continuous integration testing by providing optimized combinations and order of tests with respect to decreased run-time. However, focusing on time-efficiency as the sole criterion in DevOps often jeopardizes the quality of software deliveries. This paper proposes a technique that integrates fault-based and risk-based test selection and prioritization optimized for low run-time, to improve time-effectiveness of continuous integration testing, and thus reduce long cycle times in DevOps, without compromising on quality. The technique has been evaluated in testing of a large-scale configurable software in continuous integration, and has shown considerable improvement over industry practice with respect to time-efficiency.","0730-3157","978-1-5386-2667-2","10.1109/COMPSAC.2018.00012","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8377636","DevOps, Continuous integration testing, Test prioritization, History-based test prioritization, Risk-based test optimization, Fault-based test prioritization","Testing;Software;Optimization;Production;Fault detection;Industries;Indexes","program testing","unoptimized testing approaches;comprehensive tests;time-aware test selection methods;continuous integration testing;risk-based test selection;time-effectiveness;DevOps improvements;integrated test optimizations;automated testing","","8","","20","IEEE","22 Jun 2018","","","IEEE","IEEE Conferences"
"[Journal First] A Correlation Study Between Automated Program Repair and Test-Suite Metrics","J. Yi; S. H. Tan; S. Mechtaev; M. Böhme; A. Roychoudhury",NA; NA; NA; NA; NA,"2018 IEEE/ACM 40th International Conference on Software Engineering (ICSE)","2 Sep 2018","2018","","","24","24","Automated program repair has attracted attention due to its potential to reduce debugging cost. Prior works show the feasibility of automated repair, and the research focus is gradually shifting towards the quality of generated patches. One promising direction is to control the quality of generated patches by controlling the quality of test-suites used. In this paper, we investigate the question: """"Can traditional test-suite metrics used in software testing be used for automated program repair?"""". We empirically investigate the effectiveness of test-suite metrics (statement / branch coverage and mutation score) in controlling the reliability of repairs (the likelihood that repairs cause regressions). We conduct the largest-scale experiments to date with real-world software, and perform the first correlation study between test-suite metrics and the reliability of generated repairs. Our results show that by increasing test-suite metrics, the reliability of repairs tend to increase. Particularly, such trend is most strongly observed in statement coverage. This implies that traditional test-suite metrics used in software testing can also be used to improve the reliability of repairs in program repair.","1558-1225","978-1-4503-5638-1","10.1145/3180155.3182517","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8453057","Code Coverage;Program Repair;Mutation Testing","Maintenance engineering;Measurement;Correlation;Software reliability;Software;Software testing","program debugging;program testing;software maintenance","regressions;test-suite metrics;automated repair;generated repairs;correlation study;automated program repair;software testing;test-suites;generated patches","","2","","","","2 Sep 2018","","","IEEE","IEEE Conferences"
"Application of Mahalanobis-Taguchi Method and 0-1 Programming Method to Cost-Effective Regression Testing","H. Aman; Y. Tanaka; T. Nakano; H. Ogasawara; M. Kawahara","Center for Information Technology, Ehime University, Matsuyama, Japan; Toshiba Corporation, Kawasaki, Japan; Toshiba Corporation, Kawasaki, Japan; Toshiba Corporation, Kawasaki, Japan; Center for Information Technology, Ehime University, Matsuyama, Japan","2016 42th Euromicro Conference on Software Engineering and Advanced Applications (SEAA)","18 Oct 2016","2016","","","240","244","To enhance the cost effectiveness of regression testing, this paper proposes a method for prioritizing test cases. In general, a test case can be evaluated from various different points of view, therefore whether it is worth it to re-run should be discussed using multi criteria. This paper shows that the Mahalanobis-Taguchi (MT) method is a useful way to successfully integrate different evaluations of a test case. Moreover, this paper proposes to use the 0-1 programming method together with the MT method in order to take into account not only the priority of a test case but also its cost to run. The empirical study with 300 test cases for an industrial software system shows that the combination of the MT method and the 0-1 programming method is more cost-effective than other conventional methods.","2376-9505","978-1-5090-2820-7","10.1109/SEAA.2016.29","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7592803","Mahalanobis-Taguchi method;0-1 programming method;regression testing","Testing;Programming;Measurement;Computer aided software engineering;Software;Focusing;History","mathematical programming;program testing;regression analysis","Mahalanobis-Taguchi method;0-1 programming method;cost-effective regression testing;test case prioritization;MT method","","5","","12","IEEE","18 Oct 2016","","","IEEE","IEEE Conferences"
"How Do Static and Dynamic Test Case Prioritization Techniques Perform on Modern Software Systems? An Extensive Study on GitHub Projects","Q. Luo; K. Moran; L. Zhang; D. Poshyvanyk","Department of Computer Science, College of William and Mary, Williamsburg; Department of Computer Science, College of William and Mary, Williamsburg; Department of Computer Science, University of Texas at Dallas, Dallas; Department of Computer Science, College of William and Mary, Williamsburg","IEEE Transactions on Software Engineering","12 Nov 2019","2019","45","11","1054","1080","Test Case Prioritization (TCP) is an increasingly important regression testing technique for reordering test cases according to a pre-defined goal, particularly as agile practices gain adoption. To better understand these techniques, we perform the first extensive study aimed at empirically evaluating four static TCP techniques, comparing them with state-of-research dynamic TCP techniques across several quality metrics. This study was performed on 58 real-word Java programs encompassing 714 KLoC and results in several notable observations. First, our results across two effectiveness metrics (the Average Percentage of Faults Detected APFD and the cost cognizant APFDc) illustrate that at test-class granularity, these metrics tend to correlate, but this correlation does not hold at test-method granularity. Second, our analysis shows that static techniques can be surprisingly effective, particularly when measured by APFDc. Third, we found that TCP techniques tend to perform better on larger programs, but that program size does not affect comparative performance measures between techniques. Fourth, software evolution does not significantly impact comparative performance results between TCP techniques. Fifth, neither the number nor type of mutants utilized dramatically impact measures of TCP effectiveness under typical experimental settings. Finally, our similarity analysis illustrates that highly prioritized test cases tend to uncover dissimilar faults.","1939-3520","","10.1109/TSE.2018.2822270","NSF(grant numbers:CCF-1218129,CCF-1566589); NSF(grant numbers:CNS-1510239); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8329518","Regression testing;test case prioritization;static;dynamic;mutation analysis","Testing;Measurement;Computer bugs;Software systems;Java;Fault detection","fault diagnosis;Java;program testing;regression analysis","regression testing technique;static TCP techniques;dynamic TCP techniques;quality metrics;real-word Java programs;test-class granularity;test-method granularity;static techniques;TCP effectiveness;static test case prioritization techniques;dynamic test case prioritization techniques;software systems;GitHub projects","","34","","76","IEEE","2 Apr 2018","","","IEEE","IEEE Journals"
"A survey on the practices of mobile application testing","I. Santos; J. C. C. Filho; S. R. S. Souza","Institute of Mathematics and Computer Science (ICMC), University of São Paulo (USP), São Carlos, Brazil; Institute of Mathematics and Computer Science (ICMC), University of São Paulo (USP), São Carlos, Brazil; Institute of Mathematics and Computer Science (ICMC), University of São Paulo (USP), São Carlos, Brazil","2020 XLVI Latin American Computing Conference (CLEI)","28 Jun 2021","2020","","","232","241","Context: Mobile devices have become increasingly popular, and mobile applications should guarantee a very high level of reliability and quality. Mobile application testing needs to consider several unique requirements that distinguish it from conventional software testing. Objective: Our study aims to establish an overview of the testing practices conducted in mobile companies, to identify weaknesses that can be improved to make the testing activity more effective. Method: The survey questions were carefully designed using the Goal/Question/Metric method to provide relevant information to the questions raised in our study. Results and Conclusions: Our study outlines that native applications are more common. The testing level more performed is the system test and the positions that perform testing levels and objectives are described. Practices related to testing technique selection in the context of mobile applications are highlighted. In the context of this study, Cucumber and Selenium are the testing tools most used to automate testing activity. Some mobile testing characteristics were outlined to understand how the testing in mobile applications run on different devices, how testers deal with the diversity of operating systems that are constantly updated and whether tests are unified to testing a mobile app that runs in different platforms. Furthermore, we report the main challenges faced by testers during the validation of the mobile app.","","978-1-6654-1560-6","10.1109/CLEI52000.2020.00034","FAPESP (Sao Paulo Research Foundation)(grant numbers:2018/10183-9,2019/06937-0); CNPq(grant numbers:312922/2018-3); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9458347","Survey;Mobile testing;Software testing practices;Software quality","Software testing;Operating systems;Companies;Tools;Mobile handsets;Mobile applications;Software reliability","mobile computing;program testing;software metrics","mobile application testing;mobile devices;mobile applications;testing practices;mobile companies;testing level;system test;testing levels;testing technique selection;testing tools;automate testing activity;mobile testing characteristics;mobile app","","4","","21","IEEE","28 Jun 2021","","","IEEE","IEEE Conferences"
"Research on CPN Model Reduction Focus on Parallel Tested Behaviors","T. Sun; W. Zhang; X. Guo; X. Wan","Inner Mongolia University, Hohhot, Inner Mongolia, CN; Inner Mongolia University, Hohhot, Inner Mongolia, CN; Inner Mongolia University, Hohhot, Inner Mongolia, CN; Inner Mongolia University, Hohhot, Inner Mongolia, CN","2017 IEEE International Symposium on Parallel and Distributed Processing with Applications and 2017 IEEE International Conference on Ubiquitous Computing and Communications (ISPA/IUCC)","28 May 2018","2017","","","827","833","Nowadays parallel software system is very common and practical. However, it is difficult to test parallel software, because the state space of parallel software is very large. Therefore, a parallel model simplification method based on CPN (Color Petri Net) is proposed. Based on the original CPN, the CPN model for the tested behavior(Tested Behavior of CPN, TBoCPN) is proposed. The target of the test is described as the tested behavior. The relevant behavior is described as the behavior related to the tested behavior, then, the homogeneous concurrent branch group and the selection branch set are divided. Finally, the branches of the concurrent branch group and the selected branch set, which satisfied the condition of algorithm, are sequentially processed by the inhibitor arcs. The experiment shows that the reduction rate is at least 60%, and before and after the reduction, the full coverage test path generated by the tested behavior is not affected, thus proving that the method is an effective test method.","","978-1-5386-3790-6","10.1109/ISPA/IUCC.2017.00126","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8367356","parallel software;CPN;tested behavior;related--behavior;concurrent branch group;selection branch set;full-coverage","Unified modeling language;Computational modeling;Software systems;Inhibitors;Electronic mail","concurrency (computers);parallel processing;Petri nets;program testing","test parallel software;parallel model simplification method;homogeneous concurrent branch group;selected branch set;coverage test path;parallel software system;CPN model reduction;parallel tested behaviors;branch set selection;color Petri net;TBoCPN","","1","","13","IEEE","28 May 2018","","","IEEE","IEEE Conferences"
"Scalable Mutation Testing Using Predictive Analysis of Deep Learning Model","M. R. Naeem; T. Lin; H. Naeem; F. Ullah; S. Saeed","College of Computer Science, Sichuan University, Chengdu, China; College of Computer Science, Sichuan University, Chengdu, China; College of Computer Science, Sichuan University, Chengdu, China; College of Computer Science, Sichuan University, Chengdu, China; Department of Computer Information Systems, College of Computer Science and Information Technology, Imam Abdulrahman Bin Faisal University, Dammam, Saudi Arabia","IEEE Access","7 Nov 2019","2019","7","","158264","158283","Software testing plays a crucial role in ensuring the quality of software systems. Mutation testing is designed to measure the adequacy of test suites by detecting artificially induced software faults. Despite their potential, the expensive cost and the scalability of mutation testing with large programs is a big obstacle in its practical use. The selective mutation has been widely investigated and considered to be an effective approach to reduce the cost of mutation testing. In the case of large programs where source code has hundreds of classes and more than 10 KLOC lines of code, the selective mutation can still generate thousands of mutants. Executing each mutant against the test suite is cost-intensive in terms of robustness, resource usage, and computational cost. In this paper, we introduce a new approach to extract features from mutant programs based on mutant killing conditions, i.e. reachability, necessity and sufficiency along with mutant significance and test suite metrics to extract features from mutant programs. A deep learning Keras model is proposed to predict killed and alive mutants from each program. First, the features are extracted using the Eclipse JDT library and program dependency analysis. Second, preprocessing techniques such as Principal Component Analysis and Synthetic Minority Oversampling are used to reduce the high dimensionality of data and to overcome the imbalanced class problem respectively. Lastly, the deep learning model is optimized using fine-tune parameters such as dropout and dense layers, activation function, error and loss rate respectively. The proposed work is analyzed on five opensource programs from GitHub repository consisting of thousands of classes and LOC. The experimental results are appreciable in terms of effectiveness and scalable mutation testing with a slight loss of accuracy.","2169-3536","","10.1109/ACCESS.2019.2950171","Science and Technology Planning Program of Sichuan University and Luzhou(grant numbers:2017CDLZG30); Sichuan University(grant numbers:2019SCU12058); 2018–2020 Higher Education Talent Training Quality and Teaching Reform Project of Sichuan Province(grant numbers:JG2018-46); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8886413","Scalable mutation testing;static analysis;deep learning;binary classification","Feature extraction;Benchmark testing;Deep learning;Scalability;Predictive models;Software","feature extraction;learning (artificial intelligence);principal component analysis;program diagnostics;program testing;public domain software;software fault tolerance;software quality;source code (software)","open source programs;GitHub repository;test suite metrics;fine-tune parameters;data dimensionality reduction;imbalanced class problem;synthetic minority oversampling;principal component analysis;preprocessing techniques;program dependency analysis;Eclipse JDT library;feature extraction;computational cost;source code;cost reduction;artificially induced software fault detection;software quality;predictive analysis;mutant killing conditions;selective mutation;software systems;software testing;scalable mutation testing;deep learning model;deep learning Keras model;mutant programs;test suite","","6","","45","CCBY","30 Oct 2019","","","IEEE","IEEE Journals"
"A Test Case Prioritization Approach Based on Software Component Metrics","D. S. Silva; R. Rabelo; P. S. Neto; R. Britto; P. A. Oliveira","Computer Science Department, Federal University of Piauí, Teresina, Piauí, Brazil; Computer Science Department, Federal University of Piauí, Teresina, Piauí, Brazil; Computer Science Department, Federal University of Piauí, Teresina, Piauí, Brazil; Blekinge Institute of Technology, Karlskrona, Sweden; Federal Institute of Maranhao, Pedreiras, Maranhao, Brazil","2019 IEEE International Conference on Systems, Man and Cybernetics (SMC)","28 Nov 2019","2019","","","2939","2945","The most common way of performing regression testing is by executing all test cases associated with a software system. However, this approach is not scalable since time and cost to execute the test cases increase together with the system’s size. A way to address this consists of prioritizing the existing test cases, aiming to maximize a test suite’s fault detection rate. To address the limitations of existing approaches, in this paper we propose a new approach to maximize the rate of fault detection of test suites. Our proposal has three steps: i) infer code components’ criticality values using a fuzzy inference system; ii) calculate test cases’ criticality; iii) prioritize the test cases using ant colony optimization. The test cases are prioritized considering criticality, execution time and history of faults, and the resulting test suites are evaluated according to their fault detection rate. The evaluation was performed in eight programs, and the results show that the fault detection rate of the solutions was higher than in the non-ordered test suites and ones obtained using a greedy approach, reaching the optimal value when possible to verify. A sanity check was performed, comparing the obtained results to the results of a random search. The approach performed better at significant levels of statistic and practical difference, evidencing its true applicability to the prioritization of test cases.","2577-1655","978-1-7281-4569-3","10.1109/SMC.2019.8914670","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8914670","","Fault detection;Testing;Software;Fuzzy logic;Measurement;History;Fuzzy sets","fault diagnosis;fuzzy reasoning;optimisation;program testing;regression analysis;software metrics","resulting test suites;fault detection rate;nonordered test suites;test case prioritization approach;regression testing;software component metrics;fuzzy inference system;sanity check","","1","","20","IEEE","28 Nov 2019","","","IEEE","IEEE Conferences"
