Year,Authors,Title,Source
2017,W. Rahman and V. Saxena,Fuzzy expert system based test case prioritization from UML state machine diagram using risk information,Backward snowballing (2021-11)
2017,"R. Özkan, V. Garousi, A. Betin-Can",GA Tool Source-code in Matlab for Multi-objective Regression Testing,Backward snowballing (2021-11)
2018,"Li, X., Wong, W. E., Gao, R., Hu, L., & Hosono, S.",Genetic algorithm-based test generation for software product line with the integration of fault localization techniques,Backward snowballing (2021-11)
2016,"Hirzel M, Klaeren H",Graph-walk-based selective regression testing of web applications created with Google web toolkit,Backward snowballing (2021-11)
2019,"V. Garousi, M. Felderer, M.V. Mäntylä",Guidelines for including grey literature and conducting multivocal literature reviews in software engineering,Backward snowballing (2021-11)
2017,"Anand, R. V., & Dinakaran, M.",Handling stakeholder conflict by agile requirement prioritization using Apriori technique,Backward snowballing (2021-11)
2016,"Qing Gao, Jun Li, Yingfei Xiong, Dan Hao, Xusheng Xiao, Kunal Taneja, Lu Zhang, and Tao Xie",High-con?dence software evolution,Backward snowballing (2021-11)
2016,"Y. Cho, J. Kim, E. Lee",History-based test case prioritization for failure information,Backward snowballing (2021-11)
2017,"Junjie Chen, Yanwei Bai, Dan Hao, Lingming Zhang, Lu Zhang, and Bing Xie",How do assertions impact coverage-based test-suite reduction?,Backward snowballing (2021-11)
2017,"Franch X, Fernandez DM, Oriol M, Vogelsang A, Heldal R, Knauss E, Travassos GH, Carver JC, Dieste O, Zimmermann T",How do practitioners perceive the relevance of requirements engineering research? an ongoing study,Backward snowballing (2021-11)
2016,"Lu, Y., Lou, Y., Cheng, S., Zhang, L., Hao, D., Zhou, Y., Zhang, L.",How does regression test prioritization perform in real-world software evolution?,Backward snowballing (2021-11)
2016,"Carver JC, Dieste O, Kraft NA, Lo D, Zimmermann T",How practitioners perceive the relevance of ESEM research,Backward snowballing (2021-11)
2016,"C. Bogart, C. Kästner, J. Herbsleb, and F. Thung",How to break an API: Cost negotiation and community values in three software ecosystems,Backward snowballing (2021-11)
2018,Lingming Zhang,Hybrid regression test selection,Backward snowballing (2021-11)
2018,"Gultepe, E., &Makrehchi, M.",Improving clustering performance using independent component analysis and unsupervised feature learning.,Backward snowballing (2021-11)
2016,"Jongwook Kim, Don Batory, Danny Dig, and Maider Azanza",Improving Refactoring Speed by 10X,Backward snowballing (2021-11)
2018,"W. Wen, Z. Yuan, Y. Yuan",Improving RETECS method using FP-Growth in continuous integration,Backward snowballing (2021-11)
2018,E. Torres,Inadequate software testing can be disastrous,Backward snowballing (2021-11)
2017,"T.N. Ferreira, S.R. Vergilio, J.T. de Souza",Incorporating user preferences in search-based software engineering: a systematic mapping study,Backward snowballing (2021-11)
2017,"Guo B, Song M",Interactively decomposing composite changes to support code review and regression testing,Backward snowballing (2021-11)
2016,Ali NB,Is effectiveness sufficient to choose an intervention?: Considering resource use in empirical software engineering,Backward snowballing (2021-11)
2018,Junjie Chen,Learning to accelerate compiler testing,Backward snowballing (2021-11)
2018,"Junjie Chen, Wenxiang Hu, Lingming Zhang, Dan Hao, Sarfraz Khurshid, and Lu Zhang",Learning to accelerate symbolic execution via code transformation,Backward snowballing (2021-11)
2017,"Junjie Chen, Yanwei Bai, Dan Hao, Yingfei Xiong, Hongyu Zhang, and Bing Xie",Learning to Prioritize Test Programs for Compiler Testing,Backward snowballing (2021-11)
2016,K. Herzig,Let’s assume we had to pay for testing,Backward snowballing (2021-11)
2016,"G. Buchgeher, R. Weinreich, and T. Kriechbaum",Making the case for centralized software architecture management,Backward snowballing (2021-11)
2018,"Mahali, P., &Mohapatra, D. P.",Model based test case prioritization using UML behavioural diagrams and association rule mining,Backward snowballing (2021-11)
2016,"L¨ubke, D., van Lessen, T.",Modeling test cases in BPMN for behavior-driven development,Backward snowballing (2021-11)
2018,"A. Abdullah, H.W. Schmidt, M. Spichkova, H. Liu",Monitoring informed testing for IoT,Backward snowballing (2021-11)
2019,"Özdağoğlu, G., & Kavuncubaşı, E.",Monitoring the software bug-fixing process through the process mining approach,Backward snowballing (2021-11)
2017,"Ouni, A., Kessentini, M., ÓCinnéide, M., Sahraoui, H., Deb, K., & Inoue, K.",MORE: a multi-objective refactoring recommendation approach to introducing design patterns and fixing code smells,Backward snowballing (2021-11)
2016,"Ali Ouni, Marouane Kessentini, Houari Sahraoui, Katsuro Inoue, and Kalyanmoy Deb",Multi-criteria code refactoring using search-based software engineering: an industrial case study.,Backward snowballing (2021-11)
2017,"Usman Mansoor, Marouane Kessentini, Bruce R Maxim, and Kalyanmoy Deb",Multi-objective code-smells detection using good and bad design examples,Backward snowballing (2021-11)
2016,"Sarro, F., Petrozziello, A., Harman, M.",Multi-objective software effort estimation,Backward snowballing (2021-11)
2017,"Usman Mansoor, Marouane Kessentini, Manuel Wimmer, and Kalyanmoy Deb",Multi-view refactoring of class and activity diagrams using a multi-objective evolutionary algorithm,Backward snowballing (2021-11)
2016,"Zheng, W., Hierons, R., Li, M., Liu, X., & Vinciotti, V.",Multiobjective optimization for regression testing,Backward snowballing (2021-11)
2016,"Tengeri, D., Horva´th, F., Besze´des, A´ ., Gergely, T., & Gyimo´thy, T.",Negative effects of bytecode instrumentation on Java source code coverage,Backward snowballing (2021-11)
2016,"Banerjee, A., Chattopadhyay, S., and Roychoudhury, A.",On testing embedded software,Backward snowballing (2021-11)
2017,"Fabio Palomba, Gabriele Bavota, Massimiliano Di Penta, Fausto Fasano, Rocco Oliveto, and Andrea De Lucia",On the diffuseness and the impact on maintainability of code smells: a large scale empirical investigation,Backward snowballing (2021-11)
2016,"Ansari, A., Khan, A., Khan, A., Mukadam, K.",Optimized regression test using test case prioritization,Backward snowballing (2021-11)
2017,"August Shi, Suresh Thummalapenta, Shuvendu K Lahiri, Nikolaj Bjorner, and Jacek Czerwonka",Optimizing test placement for module-level regression testing,Backward snowballing (2021-11)
2016,"Go, K., Kang, S., Baik, J., Kim, M.",Pairwise testing for systems with data derived from real-valued variable inputs,Backward snowballing (2021-11)
2017,"Shapiai, M. I., Ibrahim, Z., & Adam, A.",Pareto optimality concept for incorporating prior knowledge for system identification problem with insufficient samples,Backward snowballing (2021-11)
2016,"Henry Coles, Thomas Laurent, Christopher Henard, Mike Papadakis, and Anthony Ventresque",PIT: a practical mutation testing tool for Java,Backward snowballing (2021-11)
2016,"S. Kalra, A. Goel, D. Khanna, M. Dhawan, S. Sharma, and R. Purandare","POLLUX: Safely upgrading dependent application libraries,",Backward snowballing (2021-11)
2016,"Everton L. G. Alves, Patrícia D. L. Machado, Tiago Massoni, and Miryung Kim",Prioritizing Test Cases for Early Detection of Refactoring Faults,Backward snowballing (2021-11)
2016,"C. C. G. Rothermel, R. H. Untch and M. J. Harrold",Prioritizing test cases for regression testing,Backward snowballing (2021-11)
2017,"E. Laukkanen, J. Itkonen, C. Lassenius","Problems, causes and solutions when adopting continuous delivery–a systematic literature review",Backward snowballing (2021-11)
2016,"van der Aalst, W.",Process Mining - Data Science in Action,Backward snowballing (2021-11)
2016,"Do, H.",Recent advances in regression testing techniques.,Backward snowballing (2021-11)
2018,"Jingjing Liang, Sebastian Elbaum, and Gregg Rothermel",Redefining prioritization: continuous prioritization for continuous integration,Backward snowballing (2021-11)
2017,"Panda, S., Mohapatra, D.P.",Regression test suite minimization using integer linear programming model,Backward snowballing (2021-11)
2017,"Minhas NM, Petersen K, Ali NB, WnukK",Regression testing goals - view of practitioners and researchers,Backward snowballing (2021-11)
2017,"Rosero, R. H., Gomez, O. S., & Rodriguez, G.",Regression testing of database applications under an incremental software development setting,Backward snowballing (2021-11)
2017,"Helge Spieker, Arnaud Gotlieb, Dusica Marijan, and Morten Mossige",Reinforcement learning for automatic test case prioritization and selection in continuous integration,Backward snowballing (2021-11)
2016,Julien Cohen,Renaming Global Variables in C Mechanically Proved Correct,Backward snowballing (2021-11)
2017,"Thelwall M, Kousha K",Researchgate versus Google Scholar: which finds more early citations?,Backward snowballing (2021-11)
2018,"O. Bachem, M. Lucic, and A. Krause",Scalable k-means clustering via lightweight coresets,Backward snowballing (2021-11)
2017,"Miranda, B., & Bertolino, A.","Scope-aided test prioritization, selection and minimization for software reuse",Backward snowballing (2021-11)
2017,"Khanna, M., Chauhan, N., Sharma, D., Toofani, A., & Chaudhary, A.",Search for prioritized test cases in multi-objective environment during web application testing,Backward snowballing (2021-11)
2017,"Engstr¨om E, Petersen K, Ali NB, Bjarnason E",SERP-Test: a taxonomy for supporting industry-academia communication,Backward snowballing (2021-11)
2018,"Alkharabsheh, K., Crespo, Y., Manso, E., & Taboada, J. A.",Software design smell detection: a systematic mapping study,Backward snowballing (2021-11)
2018,"del Sagrado, J., & del Águila, I. M.",Stability prediction of the software requirements specification.,Backward snowballing (2021-11)
2017,"O. Legunsen, A. Shi, and D. Marinov",Starts: Static regression test selection,Backward snowballing (2021-11)
2017,T. B. Noor and H. Hemmati,Studying test case failure prediction for test case prioritization,Backward snowballing (2021-11)
2016,"Junjie Chen, Yanwei Bai, Dan Hao, Lingming Zhang, Lu Zhang, Bing Xie, and Hong Mei",Supporting oracle construction via static analysis,Backward snowballing (2021-11)
2017,"T. Karvonen, W. Behutiye, M. Oivo, P. Kuvaja",Systematic literature review on the impacts of agile release engineering practices,Backward snowballing (2021-11)
2017,"Atif Memon, Zebao Gao, Bao Nguyen, Sanjeev Dhanda, Eric Nickell, Rob Siemborski, and John Micco",Taming Google-scale Continuous Testing,Backward snowballing (2021-11)
2019,"Z. Yu, F. Fahid, T. Menzies, G. Rothermel, K. Patrick, S. Cherian",TERMINATOR: better automated UI test case prioritization,Backward snowballing (2021-11)
2017,"M¨ockli, W., L¨ubke, D.",Terravis - the case of process-oriented land register transactions digitization,Backward snowballing (2021-11)
2018,"L. Xiao, H. Miao, Y. Zhong",Test case prioritization and selection technique in continuous integration development environments: a case study,Backward snowballing (2021-11)
2018,"M. Khatibsyarbini, M.A. Isa, D.N. Jawawi, R. Tumeng",Test case prioritization approaches in regression testing: a systematic literature review,Backward snowballing (2021-11)
2017,"Abu Hasan, M., Abdur Rahman, M., & Saeed Siddik, M.",Test case prioritization based on dissimilarity clustering using historical data analysis,Backward snowballing (2021-11)
2018,"Shin, S. Y., Nejati, S., Sabetzadeh, M., Briand, L. C., & Zimmer, F.",Test case prioritization for acceptance testing of cyber physical systems: a multi-objective search-based approach,Backward snowballing (2021-11)
2016,"Junjie Chen, Yanwei Bai, Dan Hao, Yingfei Xiong, Hongyu Zhang, Lu Zhang, and Bing Xie",Test case prioritization for compilers: A text-vector based approach,Backward snowballing (2021-11)
2018,"Chen, J., Zhu, L., Chen, T. Y., Towey, D., Kuo, F.-C., Huang, R., & Guo, Y",Test case prioritization for object-oriented software: an adaptive random sequence approach based on clustering,Backward snowballing (2021-11)
2016,"Aitor Arrieta, Shuai Wang, Goiuria Sagardui, and Leire Etxeberria",Test Case Prioritization of Configurable Cyber-Physical Systems with Weight-Based Search Algorithms,Backward snowballing (2021-11)
2018,"A. Haghighatkhah, M. Mäntylä, M. Oivo, P. Kuvaja",Test prioritization in continuous integration environments,Backward snowballing (2021-11)
2017,"D. Marijan, M. Liaaen",Test prioritization with optimally balanced configuration coverage,Backward snowballing (2021-11)
2017,"Wei, Z., Xiaoxue, W., Xibing, Y., Shichao, C., Wenxin, L., Jun, L.",Test suite minimization with mutation testing-based many-objective evolutionary optimization,Backward snowballing (2021-11)
2016,"Dan Hao, Lu Zhang, and Hong Mei",Test-case Prioritization: Achievements and Challenges,Backward snowballing (2021-11)
2018,K. Herzig,"Testing and continuous integration at scale: Limits, costs, and expectations",Backward snowballing (2021-11)
2016,"B. Jiang, W.K. Chan",Testing and debugging in continuous integration with budget quotas on test executions,Backward snowballing (2021-11)
2019,"Ma, T., Ali, S., Yue, T., &Elaasar, M.",Testing self-healing cyber-physical systems under uncertainty: a fragility-oriented approach,Backward snowballing (2021-11)
2016,"Lionel Briand, Shiva Nejati, Mehrdad Sabetzadeh, and Domenico Bianculli",Testing the Untestable: Model Testing of Complex Software-intensive Systems,Backward snowballing (2021-11)
2016,"N. Dini, A. Sullivan, M. Gligoric, and G. Rothermel",The Effect of Test Suite Type on Regression Test Selection,Backward snowballing (2021-11)
2018,"C. Tantithamthavorn, A. E. Hassan, and K. Matsumoto",The impact of class rebalancing techniques on the performance and interpretation of defect prediction models,Backward snowballing (2021-11)
2017,"Y. Zhao, A. Serebrenik, Y. Zhou, V. Filkov, B. Vasilescu",The impact of continuous integration on other software development practices: a large-scale em- pirical study,Backward snowballing (2021-11)
2016,"Herzig K, Just S, Zeller A.",The impact of tangled code changes on defect prediction models,Backward snowballing (2021-11)
2018,"Agren, S. M., Knauss, E., Heldal, R., Pelliccione, P., Malmqvist, G., & Boden, J.",The manager perspective on requirements impact on automotive systems development speed,Backward snowballing (2021-11)
2016,"V. Garousi, M. Felderer, M.V. Mäntylä",The need for multivocal literature reviews in software engineering: complementing systematic literature reviews with grey literature,Backward snowballing (2021-11)
2018,"LiuLiu He, Yang Yang, Zheng. Li, and Ruilian Zhao",The Reward of Reinforcement learning for Test Optimization for Continuous Integration,Backward snowballing (2021-11)
2016,"Bogdan Vasilescu, Kelly Blincoe, Qi Xuan, Casey Casalnuovo, Daniela Damian, Premkumar Devanbu, and Vladimir Filkov",The sky is not the limit: multitasking across github projects,Backward snowballing (2021-11)
2017,J. Micco,The state of continuous integration testing at Google,Backward snowballing (2021-11)
2017,"Michele Tufano, Fabio Palomba, Gabriele Bavota, Massimiliano Di Penta, Rocco Oliveto, Andrea De Lucia, and Denys Poshyvanyk",There and Back Again: Can you Compile that Snapshot?,Backward snowballing (2021-11)
2016,"Mike Papadakis, Christopher Henard, Mark Harman, Yue Jia, and Yves Le Traon",Threats to the validity of mutation-based test assessment,Backward snowballing (2021-11)
2017,"Souto, S., & d’Amorim, M.",Time-space efficient regression testing for configurable systems,Backward snowballing (2021-11)
2016,"D. Hao, L. Zhang, L. Zang, Y. Wang, X. Wu, T. Xie",To be optimal or not in test-case prioritization,Backward snowballing (2021-11)
2017,"Almasri, N., Tahat, L., & Korel, B.",Toward automatically quantifying the impact ofa change in systems,Backward snowballing (2021-11)
2017,"T. Byun, V. Sharma, S. Rayadurgam, S. McCamant, M.P.E. Heimdahl",Toward Rigorous Object-Code Coverage Criteria,Backward snowballing (2021-11)
2018,"Fischer, S., Lopez-Herrejon, R. E., & Egyed, A.",Towards a fault-detection benchmark for evaluating software product line testing approaches,Backward snowballing (2021-11)
2016,"Tahvili, S., Afzal, W., Saadatmand, M., Bohlin, M., Sundmark, D., Larsson, S.",Towards earlier fault detection by value-driven prioritization of test cases using ftopsis,Backward snowballing (2021-11)
2017,"M. Hilton, N. Nelson, T. Tunnell, D. Marinov, and D. Dig","Trade-offs in continuous integration: assurance, security, and flexibility",Backward snowballing (2021-11)
2017,"M. Beller , G. Gousios , A. Zaidman",TravisTorrent: Synthesizing Travis CI and GitHub for full-stack research on continuous integration,Backward snowballing (2021-11)
2018,"G. Mezzetti, A. Møller, and M. T. Torp",Type regression testing to detect breaking changes in Node.js libraries,Backward snowballing (2021-11)
2016,"Michael Hilton, Timothy Tunnell, Kai Huang, Darko Marinov, and Danny Dig","Usage, Costs, and Benefits of Continuous Integration in Open-Source Projects",Backward snowballing (2021-11)
2016,"V. Garousi, E.G. Ergezer, K. Herkiloğlu","Usage, usefulness and quality of defect reports: an industrial case study in the defence domain",Backward snowballing (2021-11)
2017,"Storey MD, Engstr¨om E, H¨ost M, Runeson P, Bjarnason E",Using a visual abstract as a lens for communicating and promoting design science research in software engineering,Backward snowballing (2021-11)
2016,"Felizardo KR, Mendes E, Kalinowski M, de Souza ´EF, Vijaykumar NL",Using Forward snowballing (2022-08) snowballing to update systematic reviews in software engineering,Backward snowballing (2021-11)
2017,"A. B. Sánchez, S. Segura, J. A. Parejo, and A. Ruiz-Cortés",Variability Testing in the Wild: The Drupal Case Study,Backward snowballing (2021-11)
2018,"V. Garousi, M. Felderer, Ç.M. Karapıçak, U. Yılmaz",What we know about testing embedded software,Backward snowballing (2021-11)
2016,R. Potvin and J. Levenberg,Why Google stores billions of lines of code in a single repository,Backward snowballing (2021-11)
2016,"Danilo Silva, Nikolaos Tsantalis, and Marco Tulio Valente",Why We Refactor? Confessions of GitHub Contributors,Backward snowballing (2021-11)
2016,Tianqi Chen and Carlos Guestrin,Xgboost: A scalable tree boosting system,Backward snowballing (2021-11)
2020,"Rosenbauer, L., Stein, A., Hähner, J.",A Germinal Centre Artificial Immune System for Software Test Suite Reduction,Backward snowballing (2022-08)
2019,"Yiling Lou, Junjie Chen, Lingming Zhang, and Dan Hao",A survey on regression test-case prioritization,Backward snowballing (2022-08)
2020,"Dario Di Nucci, Annibale Panichella, Andy Zaidman, and Andrea De Lucia",A test case prioritization genetic algorithm guided by the hypervolume indicator,Backward snowballing (2022-08)
2020,"Rosenbauer, L., Stein, A., Hähner, J.",An artificial immune system for adaptive test selection,Backward snowballing (2022-08)
2019,"T. Nakagawa, K. Munakata and K. Yamamoto",Applying modified code entity-based regression test selection for manual end-to-end testing of commercial web applications,Backward snowballing (2022-08)
2019,Erik Lundsten,EALRTS: A predictive regression test selection tool,Backward snowballing (2022-08)
